Comments,Comment Upvote,Time
"I have listened to this SOOOOO many times I never get tired of it. Pastor Billy Graham spoke the truth. Thank GOD WE HAVE SUCH A FORGIVING ,CARING, JUST, AND A GOD OF LOVE .",1,13 days ago
"God you know all my sins, you have brought me through deep water, and I don't understand why, 
Lord I thank you and love you, in Jesus mighty name,Amen",1,3 years ago
The hair on my skin stands up each time I hear Billy Graham speak.I can only imagine what it must have been to hear the apostles preach..... ,1,1 month ago
"Powerful message, love this, the word of God is timeless.",1,2 years ago
AMEN... AMEN...Thanks Father God for your mercy thanks for everything in my life ..Thank you for not abandon me .. Have your Hands on every one .,7,4 years ago
Amen hallelujah praise lord Jesus Christ,2,1 year ago
Lord Jesus forgive me for my sins and come into my heart. I make you my lord and savior,1,1 year ago
"POWERFUL INDEED!!!!!! It’s miraculous that this wonderful man of God, chosen to lead others to Christ, is STILL affecting lives today! I pray, in Jesus name, that these sermons will continue to change lives through the many videos available on YouTube. I PRAISE–YOU FATHER GOD–in Jesus name, for the work YOU did through Billy‘s life. The many thousands, whom gave their lives to you, FATHER GOD, because they “surrendered all”. And certainly because Billy Graham was chosen by YOU, LORD, to do a mighty work in this world and especially because he indeed, “surrendered all”. Hallelujah!! PTL forever!!!",1,2 years ago
"He will never change, so we can change to be more like Him. We will never be Him, but we can grow to become more loving and caring and  able to reach out to help others. We serve a mighty God.",1,2 years ago
"Jesus is the same yesterday,  today and forever. He is the way, the truth and the life. O praise the Lord,  O my soul,  praise his holy name   hallelujah ",1,8 months ago
"Lord Jesus have mercy on me,,I confess you as my personal lord and savior",10,4 years ago
TRUE WHAT HE PREDICT.AMEN,1,7 months ago
Thank you Lord Jesus for what you did for us on the cross... and I Love you too!!! ,2,1 year ago
Rest in peace daddy.. I know your with the LORD..,2,5 months ago
God allow us see the grace through the blood of Jesus each day That's powerful along ... Jesus die for we can see the grace of God for he can allow his words to guide us daily,1,2 years ago
Amen to the Lord ..hope.. love .joy peace ..Faith,2,1 year ago
"forgive me Father. for I am a great sinner I've done the worst.. forgive me Jesus I need to feel your love. heal me, change me in Jesus name Amen",3,4 years ago
Have mercy on me God... I ask this in your Son's Holy Name... Amen.,1,1 year ago
AMEN️️Praise The LORD AMEN️️,1,1 year ago
"An overwhelming reaction to this grace of God is to praise him to praise him and song but he doesn't want us to do it alone. He enjoins angels, son, Moon, and all that who dwell in the time and space to praise our god of Grace for his goodness. We hear similar words in the communion liturgy therefore with all the Angels and Archangels and all the companies of Heaven We laud and magnify your glorious name indeed, all of creation can join in the praise of our God",1,11 months ago
"When God speaks through a choice vessel like Billy Graham,  you know God is speaking when them words can hit your heart and make you cry. Thank God for Your truth. Please save souls Jesus and heal the broken hearted  souks. In Jesus Name, Amen ",1,1 year ago
This is so important because of what we as a world is going through now. I pray that during this time people return to God. He is waiting for all of us.,3,5 months ago
One of the heart changing message ️,60,3 years ago
This is pure joy thank you for sharing,1,1 year ago
In JESUS name AMEN,1,2 years ago
Praise the lord  amen ️,1,11 months ago
"God loves you, if you seek him you will find him, he hears you,  he may not answer right away but he is there ready for you when you are ready for him",1,5 months ago
Thank you My Lord for your mercy and forgiveness ,1,2 years ago
God bless all the listeners,35,4 years ago
Yes my lord my Jesus Amen,1,2 years ago
Oh...what a great speech,1,2 years ago
Powerful ️,1,3 years ago
Oh! Lord in the name of Jesus! Please forgive me for my sins. Watch my children. Amen,1,2 years ago
He's My Inspiration,1,8 months ago
Love this man!,14,3 years ago (edited)
Hallelujah Amen ,1,11 months ago
"God Bless this messenger of Christ, pray for us in Heaven Rev Graham for a broken world needs repair..",1,1 year ago
Thank you JESUS,1,2 years ago
"Jesus....please forgive me for all my anger, hate, greed, addictions, and sins... Baptism me in your grace and mercy. Bless those who seek your face. I need you, Jesus. We need you, Jesus!",1,6 months ago
"""THANK YOU JESUS FOR THE CROSS ! AMEN & HALLELUJAH! ",1,3 years ago
"Amen, Lord God please watch over all of us and keep all of us safe, we need you, Thank you so much God the Father, Jesus Christ, and everyone and everything holy and heavenly for all the amazing things that all of you have done and that you do for everyone and everything, I love all of you, I love You so much God, In Jesus Name, Amen",27,4 years ago
It's easy to tell when the spirit of God is using someone to speak because when they speak it's like nothing you have ever heard before there is undeniable power in those words and may the Lord bless the ears which hear these words to make a difference in their lives..,1,3 years ago
I believe in you God. Help us!,1,3 years ago
Amen Jesus is King God bless️️,1,3 years ago
Jesus I love youu  I trust youu,1,2 years ago
Billy Graham my best personality on earth . Please pray for me that one day I can become like him. I took and following his path to serve Jesus. Please bless me and pray for me,1,2 years ago
Amen Jesus is King God bless️️,3,4 years ago
This is so good,1,2 years ago
"GOD FORGIVE ME O LORD OF MY SINS, DO NOT LET ME BE TEMPTED AMD DELIVER ME AND MY FAMILY FROM ALL EVIL! IN JESUS NAME I PRAY ALL OF THIS AMEN!️",4,2 years ago
Lord Jesus Christ hear our prayer to save us forgiveness in my sins against us.Amen,1,3 months ago
Yes He is the Only One Father have Mercy on us this world. Amen,1,2 years ago
"Thanks for uploading, May God bless you!!",2,2 years ago
Amen praise the lord,10,4 years ago
Woooooow. Have me chills fantastic,1,2 years ago (edited)
Such a nice sharing,1,2 years ago
"And today is the day...Wake up America "" the truth is unfolding before our eyes. To change the world  you have to start with yourself ",1,6 months ago
Halleluja!,2,3 years ago
Thank you Lord ,1,1 year ago
"Amen. Please forgive me for all my sins Lord Jesus Christ  i accepted You as my Lord and  Saviour . You are the only way , the truth , and the life ,",5,4 years ago
Glory Glory Glory to Holy God Amen Hallelujah hallelujah hallelujah ,1,7 days ago
Jesus Christ is our saviour ,1,1 year ago
Only Jesus can save us there Power in His Name .God is the same yesterday today and forever.  Amen,1,3 years ago
I defenitely agree !. GOD ALMIGHTY is omni present & omni potent  ........  AMEN & AMEN !!!.,1,1 year ago
 Reverend Billy Graham,2,1 year ago
This is powerful,3,4 years ago
"Lord Jesus Christ please forgive me for my sins. Lord JESUS please teach me to seek peace, hope, good and love.",1,2 years ago
Walk my shear Faith ,1,2 years ago
Hallalujah God's unchanging Hand. Glory,2,2 years ago
"I truthfully loved Billy, I miss him, no one else can speak like him with that passion ️",1,1 year ago
This Blessed man changed my life again in 2003 by his commanding Spiritual talk.PRAISE THE LORD,1,2 years ago
AMEN Thank you Lord Jesus may God bless you pastor,8,4 years ago
"Father God, I need your mercy, grace, and forgiveness. My righteousness is that of filthy rags. Only Jesus Christ of Nazareth can cleanse me without spot or blemish. Hallelujah to the Lamb of God my Lord and savior Jesus Christ of Nazareth ️️",1,2 weeks ago
This is  really most inspired me and I  hope people watched  belive in god and never give up,1,1 year ago
Amen! The world needs to be shaken today!,1,3 years ago
I will change according to your will lord help me to do it father holy spirit Amen,2,2 years ago
 AMEN!!! ,1,2 years ago
God bless and guide to all form right way ️️,24,4 years ago
God wants you to love him as much as he loves you.,1,8 months ago
Amen glory to God,1,6 months ago
"Accept the Scripture by faith.
Powerful.",1,10 days ago
God is with me I don't afraid of anything,2,2 years ago
"Thank you, Billy Graham I believe you have a good time with the Lord in Heaven . Thanks for all  preaching",1,2 years ago
God forgive all my sins. I know I am forgiven as I ask. Thank you God for your mercy and love. thank you for forgiving me.,60,4 years ago
Dear Lord please forgive me of all my sins and help me to be a better person and do whats pleasing and right in your eyes. Thank you for your undying grace every day. Amen.,1,7 months ago
Praise the lord ️️️️️,1,1 year ago
"Amen Amen Amen
Hallelujah
Thank you Jesus",1,1 year ago
Our Christian Nation needs this now more than ever. GodSpeed to all.,1,2 years ago
"Lovely fire of the Holy Spirit in this message.
Praise the Lord God always!  
He is so good all the time! ",1,1 year ago
I love this amen,4,3 years ago (edited)
It’s what you do thru u adversity that defines who you really are .. depend on a higher power ,3,2 years ago
Wow.. its wonderful message,--,12 days ago
"God is my Shepherd l shall not lack, 
I surrender to you my sweet God creator of heaven and earth in Jesus christ name amen ",1,2 years ago
"For those who want to know the scriptures used in the video (that I'm aware of). 
1:04 Malachi 3:6
2:39  Ephesians chapter 2.
3:21 Isaiah 40:8",1,3 months ago
from today i surrender myself to god...BILLY Graham   is so much passionate about god,1,1 year ago (edited)
Glory to God ... what a mighty God we serve Ephesians 1:17 .... To God be the Glory ....  Isaiah 55:7 ... 2 Thessalonians 3:16 ...,3,3 years ago
Billy Graham had such a way with words. You can hear the passion in his heart. You knew he truly loved God. This message is a great reminder that God never changes. That God loves us always and forever. I've been going through some tough times last year just like a lot of folks and I know God is walking with me. I know God loves me and I love him. Thanks be to God,1,2 years ago
I love God and seek for his forgivness!,2,1 year ago
Glórias a Deus!,1,2 years ago
"MY DEAREST1....... THANK UUU
EVER SOOO MUCH 4 THESE
Spiritual Videos.. WE'RE BLESSED.
Praise HIM & GIVE THANKs",1,3 years ago
Amen so powerful ️,1,2 years ago
I pray for the salvation of lost sinners all over the world!!!,4,4 years ago
True words ️️ touch my hourt,1,3 years ago
"God is coming 
Keep faith",1,1 year ago
His speaking the truth.  And his with the Lord.,1,2 years ago
Praise the Lord,1,2 years ago
"God does not change .
God extends his Mercy.
Be holy for I AM HOLY Saith the LORD.",1,2 years ago
I always come back thank you Billy,13,4 years ago
Powerful sermon....,1,1 year ago
Thank you God that you washed away my sins ty Lord for your cross without you I’m nothing..,3,6 months ago
Thankq Jesus️,1,2 years ago
"What a sermon
I would love to say something very profound, but I'm lost for words Jesus saves amen",--,2 years ago
Glory to God,1,1 month ago
This is one of the most powerful sermons ever thank u GOD in Jesus name,5,4 years ago
Amen He is unchanging and forever true . King of all king's Lord of all Lord's ️,1,10 months ago
"Bless me o lord, and save me.",1,2 years ago (edited)
Great vedio amazing word of God God is unchanging there is no one like you God is this sinful world God is unchanging in his love thanks jesus for loving me great man of God billy graham love from Pakistan.,1,6 months ago
3:01 most wonderful thing to sleep with at night,--,1 year ago
God forgive me for I am a sinner. I know for by grace alone I am saved!,--,2 years ago
may God bless  you all and forgive your sins,1,3 years ago
Every single time I listen to this clip of Bill I am thankful to God that I received grace and mercy of God through His only Son Jesus Christ! And I lay down all my worries and impossible situation and truly thankful that I have Messiah who will do the job!,2,1 year ago
Whoever is reading this Please Do Pray For Me As I m in Great Depression ....Thus having a low Faith ,1,3 years ago (edited)
Amen! We are so privileged to be His children. God’s love is everlasting to everlasting.,--,2 years ago
Father Tank you your words please help me leads my heart' always ,1,1 year ago
"Absent from the body present with the Lord. 
Peace From London. ",1,3 months ago
Truly God doesn't change so we need to change to His own ways and Will. God have Mercy on Our Lives.,4,3 years ago
This man been inspiration always,1,3 years ago
HALLELUIYA AMEN AMEN AMEN,--,3 years ago
Yes Father I Donald Andrew Hernandez am a Sinner and ask you into my life as LORD and Savior. Thank you and God Bless ALL. Peace and Prayers Don Hernandez,1,3 years ago
"Were in that shake now the whole world is in a shake we the people have lost over a million people THIS...THIS is the time that all races of people MUST stand help an fight to overcome this,LOVE each other.I LOVE YOU ALL BROTHERS AN SISTERS OF THE WORLD.Godbless",1,3 years ago
AMEN! HALLELUJAH! THANK YOU YESHUA! THANK YOU FOR SHARING THIS AMAZINGLY BEAUTIFUL VIDEO OF BILLY GRAHAM! I GREW UP WATCHING BILLY GRAHAM! PRAYERS AND BLESSINGS SENT YOUR WAY TO YOU AND YOUR FAMILY AND FRIENDS!,1,2 years ago (edited)
"History repeats itself , Jesus stands true to His word , promise never changes
Godspeed to all forever and a day",26,4 years ago
"""Jesus Said I Am The WAY The TRUTH And The LIFE No Man Cometh To The FATHER But By ME""",1,1 year ago
Praise God,2,2 years ago (edited)
"Powerful, beautiful, true!",4,2 years ago
God Bless Billy Graham,3,9 months ago
"These  times have come now! Amen! Amen! Lord be with us all as we go through troubled times.... sickness, cancer,loss of jobs and finances,loss of loved ones, and help us all to love you and know you more than we ever knew we could. Love us Lord and save us! Our Heavenly Father Amen! And Amen! Thank you Lord....",1,1 year ago
"Glory to God, AMEN!",4,3 years ago (edited)
Blessings and good speech,1,9 months ago
Praise the lord,--,3 years ago
Billy Graham is an angel sent from Christ.,1,2 years ago
"Jesus please forgive me
I am unworthy of thy grace
Lord, forgive me 
I want to be drawn near to you again, O Lord",1,6 months ago
I need forgiveness everyday Lord thank you for loving me enough not to leave me the way you found me.  I’m glad that You change not in a world that forever changes I can count on You to remain the Same.,1,2 years ago
I love this message with whole my heart.,25,4 years ago
With gods grace we will all make it to the kindom of heaven,1,3 years ago
"Amen and Amen 
Thankyou Thankyou Thankyou Universe and spirit guides 
I am a new creature in Christ Jesus",1,2 years ago
"Amen, He was one true soldier of God. He made sense about everything he had to say about the Bible. He was blessed with the right words from our lord and savior Jesus Christ",--,1 year ago
God lives within me,1,2 years ago
"Amen God hasn't changes, thanks lord for your mercy and loves.",1,11 months ago
God Bless You All.,7,4 years ago
ONCE YOU SEE THE TRUTH YOU SHALL NEVER GO BACK ! ALL PRAISE TO THE FATHER THE SON AND THE HOLY SPIRIT . He has saved me from the worst of conditions as he has all of us . What a loving God we serve !!!,1,2 years ago
I have jesus  in my life...,1,2 weeks ago
Amen and Amen!!,1,1 year ago
AMEN!,1,2 years ago
"God help me always
I trust in you",2,2 years ago
HALLELUYAH!(PRAISE YE YAH!) Keep HIS Commandments or you can't make HIS Kingdom(Revelations 22:14).,3,3 years ago
I sure do miss this man.,1,2 years ago
"Jesus said, ""I tell you the truth, no one will see the Kingdom of God unless he is born again. I am the way the truth and the life, no one comes to the Father except through me. For God so loved the world that he give his only Son that whoever believes in Him shall not perish but gain eternal life. For God did not send His Son into the world to condemn the world but to save the world through Him. For all have sinned and come short of the glory of God. For the wages of sin is death but the gift of God is eternal life through Jesus Christ our Lord and all who call upon the Name of the Lord will be saved. ""John 3v3v21, John 14v6 Bible",2,6 months ago
Amen hallelujah ️,30,2 years ago
"God forgive me all my sins, save my soul and my spirit,,, show me marcy ohh father,,,, malachi 4 :2 show me yo light in my way,,, i love you Lord Jesus, may your name be Glorified amen ",2,2 years ago
"If you're having a bad day, know that God loves you",1,1 year ago
"Jesus has never died, he alive since  ",6,3 years ago
"I miss his powerful preaching.
""Work out your salvation with fear and trembling""",--,2 years ago
Praise the Lord,--,2 years ago
"For God so loved the world that he gave his only begotten Son that whosoever believeth in him should not perish but have everlasting life.  Amen 
️‍",--,2 years ago
This is one of the moments when real men cry,1,11 months ago
THE GREAT GOD LOVES YOU ALL,2,2 years ago
Utterly brilliant.,8,3 years ago
Amen Jesus is my lord and Savior,1,1 year ago
Praise the lord,1,1 month ago
"Powerful and kind God gave us a way out. He brought light into our darkness, the spirit of the living God I ask you to forgive me for my sins and help me remain in you even as the enemy works threw people to try destroy me to this day. I put my trust in you jesus and no you will see me threw. For after every dark night there's a bright day. You are the only thing stable that we can stand on you alone father. I love you jesus ",1,2 years ago
Praise the lord,--,2 years ago (edited)
"Yes, we must accept the change. Amen.",1,2 years ago
Thank you god I receive you god I have so many questions please guide me Lord i need you lord ️,12,4 years ago
The best preach I ever heard.,--,3 years ago
Help us Lord,--,3 years ago
"3:34 “there are a lot of things in this bible I don’t understand” that’s powerful. It’s ok to NOT understand the whole bible, it’s pretty complex. The best and most important thing to understand is the story of Christ",2,1 year ago
AMEN!,2,1 year ago
"After followed  Christ and Baptist, i found Billy  Graham preaching in you tube. it seem God  sent me people to build my faith. Thank you Mr Billy Graham. I like to see u in Heaven where you are now. Amen ",1,2 years ago
"Great sermon then ,& a great sermon now ,GOD HAVE MERCY FOR ALL THE WORLD  THRU CHRIST  JESUS OUR LORD &SAVIOUR  VICTORY IN JESUS",8,3 years ago
The best speaker I have ever ever ever seen and heard. Wow.,1,2 years ago
"Pastor  Billy Graham
Pray the Lord 
God Bless you",3,2 years ago
"There is no good in me.  Lord forgive me and all those who seek your grace and mercy.  Bless us Lord, with change.  A change that will desire alignment with you and your word.  Bless us with strength of body and character and, clarity of mind to do your will in all things.  Bless us to recognize our brothers and sisters and lift them up to you that not one soul may be lost.  All for your glory!!!",2,2 years ago
Amen Brother.,--,11 months ago
Thank you my brother in Jesus mighty name Amen brother pleas pray for me and my family,1,2 years ago
"Mark 5: 19. Witnessing, Go home to thy friends, and tell them how great things the Lord hath done for there, and hath had compassion on thee️",7,4 years ago
"Christ jesus please, cleanse me from all my Sins , my sins are causing me  to sink deep into perdition right now . Have mercy on me son of David . give me a new chance to walk with you Lord. I know you have better plan for my life because you created me. Amen",--,2 years ago
We need another man like him !!! NOW,1,2 years ago
Amen Thank you  Amen Thank you I Lo you God ️,--,1 year ago
"I’m struggling and can’t stop crying , Iv been an addict for years and I grew up in a Christian house I used to believe but life has beat me so bad bad I can’t seem to have any faith anymore, but I can’t seem to forget , life is so hard I can’t understand why , my mind has been dark for years and for years Iv prayed so hard , crying out on the floor but to no avail ,im discouraged and don’t know how to feel better",1,3 weeks ago
"God never change, He has power to change all situations,  cast your  worries to God, call upon Him and count on God  who is  able, reliable and available  there is  hope for you",--,1 year ago
Amen please pray for My family,11,3 years ago
Thank you Billy you made things very clear to me example I don't understand everything in the Bible and you made it sound it's okay as long as I trust and believe what's in the Bible. You have no idea how good that makes me feel I feel relieved.,1,2 years ago
Oh what a joy i hav recieve the grace,--,3 years ago
Sometimes I can’t even remember how sinful I have been,1,1 year ago
"God restore my faith! I know I need you, help me to come closer to you",1,1 month ago
you dont need to know everything because faith is all you need.,--,2 years ago
Praise  almighty God amen,39,3 years ago
Please God have mercy on me ..Amen,1,4 months ago
"Save me GOD, that's all am asking",1,3 months ago
Amen thank you jesus,1,11 months ago
Praise the Lord,1,1 year ago
Powerful word for such a time as this.,1,6 months ago
Yes I agree with Billy Graham in the powerful name of Jesus Christ Amen.,30,3 years ago
Amen ️,1,1 year ago
"Jesus, I trust in you.",--,3 years ago
I Love Billy Grahams Preaching,1,2 years ago
"Every knee will bow to The Lord My God
Thank you Jesus The Christ, especially for The Spirit That Dwells from within, Praise the GREAT I AM,  
Aman and Aman",--,5 months ago
"Our mission is to know God and make him known to all
That's why he has send us into this world to proclaim the good news",--,2 years ago
Jesus Loves everybody Amen,26,3 years ago
Amen lord jesus hail to the lord jesus,1,1 year ago
Praise the lord amen,1,2 years ago
WE NEED YOU JESUS! PLEASE COME TO US,--,2 years ago
I need you God...,--,2 years ago
Glory!!,2,1 year ago
Amen and Amen. ,6,3 years ago
Amen️,2,10 months ago
Powerful,1,2 years ago
Amen thankyou Jesus,1,2 years ago
"God forgive me , im sometimes confused wen things are getting harder and harder I sometimes question myself if u see what I go through. Forgive me because im ungrateful person . I know you love me and im going to wait on ur time cz I know u never late . Give me faith to wait for ur voice ",1,5 months ago
This was a good man who brought thousands to the Lord. I really enjoy his early work when he was a young man.,1,1 year ago
I really love the way he teach us,16,3 years ago
"Sorry for the thing that i hate done in my life..... Sorry for not obeying my parents.... When I let my anger n depress let me to wrong way.. U are always there for me..... Thanks u for giving me a parents, thank u for knowing that i am not alone... Thanh u for your guidance n protection for all the past year",1,2 years ago
Amen thank you god bless,1,2 years ago
AMEN PRISE THE HEAVENLY FATHER AND HIS BELOVED SON JESUS CHRIST WHO DIED FOR ME HE IS MY EVERYTHING AND I LOVE HIM WITH ALL MY HEART AND SOUL MY LIFE I SHALL NEVER DENY YOU MY HEAVENLY FATHER ,2,1 year ago
Let us  turn away from sins  we need to follow Jesus so that we can be saved through him,--,2 months ago
"Almighty God , kindly have mercy on me and grant me ur grace through my faith in my redeemer and saviour Lord Jesus Christ. Amen. 
.",1,2 years ago
PRAISE THE FATHER GOD,14,4 years ago
"Thank you dearest Billy Graham, brother in Christ. Thank you for clear and precise message of the Gospel, and for staying true to your faith. May you rejoice in presence of the Lord as one of the very elect!",--,3 years ago
Not going to lie I was seven when I saw Billy Graham on TV and he led me to Jesus that day.,--,3 months ago
Praise Jesus the Messiah,--,3 years ago
Shalom God bless you and much love,1,2 years ago
Powerful,--,3 years ago
He is the greatest preacher ever,3,4 years ago
"ON THIS THANKSGIVING 2020, TO ME THIS IS SO FITTING.",1,2 years ago
So right.....So TRUE !!!,1,2 years ago (edited)
"Wonderful, true beautiful, Gods grace for us who truly believe!!",2,1 month ago
Amennn ,1,2 years ago
I thank you Jesus for dying on the cross for me. God is love. Mr. Graham was the best.,--,3 years ago
Thankyou Lord,11,4 years ago
"Can u upload more videos of speeches of Jesus love , sacrifice, kindness",1,2 years ago
"Forgiveness i'am sinner Lord  please Forgiveness  Lord  please give me your holly blood  lord wash  my life in my soul  Lord help  me please forgiveness   me im sorry Lord  i surrender my life to you  in my Soul .i need you Lord forever in my life in my Soul 
 In Jesus Christ Name Amem️️️️",--,11 months ago
Can you guys maybe please pray for my parents and grandparents to become saved?️,1,4 months ago
AMEN!!!,--,2 years ago
God is greatI love him to infinity...He has blessed my life and I'll be forever gratefulThank you God,1,1 year ago
Lord please forgive my sins and let me turn to u my savior,22,3 years ago
Amen but we can ask God to Forgive us. Even through repentance. May God Bless us all and call us who we have called us to be. God is Eternal everything in this world is temporary.,1,8 months ago
Praise the Lord,2,1 year ago
Thank u lord my God!!!!I am a poor sinner & offender. Thank u Mr. Billy Graham for ur wonderful speech.,1,1 month ago
"My captain 
Oh my captain 
My sail broken and the wind is against me
My spirit tired and I have no strength left in me",--,1 year ago
“HOW CAN A FINITE MIND LIKE MINE COMPREHEND AN INFINITE ONE” amen,--,2 years ago
Father God forgive me for my sins. I ask for you to take care of us all in these trying times Amen,17,3 years ago
"Oh how I long to be in Heaven with God the Father and his son Jesus. To be with all my animal solemates who have looked after me and loved me. To be free of my fear, anxiety, and depression. But God if it's your will let me do something for you while I'm still here. Please use me to spread your message of love. I am offering the remaining years of my life to you. Please Lord bless me by accepting my offer. Please let me live and die for Jesus. I feel so hollow, so empty now. I am asking you God in the name of your loving son Jesus to pour out your grace upon me, and change who I am. Save me so that I may help save others.  I accept Jesus as my Lord and Savior. Please accept me as your child, strengthen my faith. Do with me as you wish. I am now yours. Amen.",1,3 years ago
Lovely ,--,2 years ago
Amazing.. Thank you.,1,1 year ago
"Preach, Preacher!",1,2 years ago
"I Need the Grace of God, I need the Forgiveness of God.. Please Pray for me to let God forgive me for that I've being a sinner for all those past years, days, minutes... Lord Jesus Christ I need you for I am nothing without you please forgive me in Jesus name I pray.",1,1 year ago
"Thank you, God, for all of creation. Thank you for creating me and all the people in my life, past, and future. Father I want so much to quit smoking cigarettes. They are of no value to me, and are destroying your temple within me. Please give me the strength to overcome this bad habit.Father, thank you for sacrificing your son to save all of us . Father I pray for all those on here giving you glory and in need of help. Thank you I love you ",13,3 years ago (edited)
Amen  ,1,4 days ago
"Praise the lord  praise the lord  praise the lord  amen  amen  amen ,,,, I am blessed  amen ",1,4 months ago
"Lord I pray that you forgive me for all my sins and help me Holy Spirit to live a holy life, give me your strength to stand up against any temptation the devil bring before me, with your mercy and grace Lord will it be so, for I I'm weak and you my God is my strength, I worship you my Lord Amen",1,1 month ago
RIP ,1,1 month ago
We need God now more than ever,2,2 years ago
AMEN,22,3 years ago
amen brotha glory be to god always and forever i love yall he loves yall more tho,1,3 months ago
Amen.i believe lord god.thank you soo much lord god.keep my family safe lord god.i love you soo much lord god.️️️,--,1 month ago
Amen God never change humans have to change in Mighty Jesus Name Amen Hallelujah...........,1,2 months ago
Amen ,--,2 years ago
"In a world that is changing rapidly before my eyes, I am comforted knowing that some things will never change. The most meaningful things in life seem to be those things. GOD, family, and faith.",1,1 day ago
WoW!!!!!!,27,3 years ago
Something’s remain…… I am the way said Jesus… Gods way is the only way to Salvation and live in a wholesome marriage. To live a happy healthy life we live this life for are God. I AM THE WAY.. ️,1,3 months ago
Amen and pray for me ️,1,1 year ago (edited)
Lord please forgive me for all the wrongs things I’ve done and all of the wrong things I’ve said and all of the people I hurt amen.,1,3 years ago
2021: a lot of signs that Judgment day is near and I’m ready️,1,10 months ago
"Oh Lord, Your love always spreading upon me all the time. Thank You Jesus for Your mercy and blessings.
In Jesus name. Amen.",1,2 years ago
Amen  Lord,16,4 years ago
"Billy Graham is Heaven 2.0 to all words, all humans and god... God has the respect of love... god loves you, god died on the cross for us, god bless everyone.",1,7 days ago
AMEN AMEN AMEN HALLELUJAH ️️️️️️️️️️,--,2 years ago
Lord please forgive me forgive me for my sins I pray for mercy salvation the grace of God,1,2 years ago
Jesus Christ I believe that you are the way️ the truth and the life,1,6 months ago
"When I was teenager .. I realy near in Gods arm .. im a song leader of our church . Im a leader also in youth  but ill change ... i forgot him   sorry God   , sorry .. I repentant all I mistake ive done  .. im here . Hope your door is still open for me",--,3 years ago
I know every person wishes God would just give us a real hug. Imagine that. Every worry and concern would be washed away by just an embrace by our Lord.,41,4 years ago
Listening   waiting to witness the Discovery and the Great Exploration  ...  ... God bless you Valorous Crusader  .  I am interested in your Immortality and all ... Southern Cross ️ ,--,1 year ago
"️
AMEN!!!!!!!",--,1 year ago
"We all feel some type of way when we hear things like this, it’s because deep down you know god is real",2,1 month ago
AMEN AMEN,--,1 year ago
Just a great man.,1,2 years ago
"Pray with me: Father, forgive my sins, write my name in the book of life, I believe and recognize that Jesus is my Savior, amen.",3,3 years ago
Fro. The day I follow lovely jesus . really my life changed to very peaceful . thanks jesus and the god . for sending jesus,1,8 months ago
"Jesus please forgive me from my all sin , i am sorry my lord for my all bad thinks ",1,1 year ago
AMEN,--,2 years ago
"I felt like God forsaken me, and shut me out .. also thought he hated me for mistakes I’ve made, I truly feel I don’t deserve life . I got into the way of will and I felt directed to hell but i remember someone told me in the Bible it says “plant first , water then grow with Jesus.. that’s why God didn’t talk to me or listen to me because I didn’t even plant .. I wasnt willing to sacrifice my sin and bad doing.. I look back and all I see is destruction from sin, but God helped me and saved me again.. because I confessed and turned away now I’m growing with Jesus as he is in my heart .",1,1 year ago
We must change that is true. God bless everyone ,2,2 years ago (edited)
"Jesus son of God is the true God who save us to fullness of lifeI love to follow my Jesus son of God as God, Amen",10,4 years ago
Amen ️️,1,2 years ago
"1 Peter 4:8️

Above all, love each other, for love covers a multitude of sins",1,5 months ago
God please I have broken so many promises Lord may u pardon me today renew my spirit in u I want to get closer to u Amen,--,2 years ago
AMEN AMEN AMEN,1,1 year ago
Powerful,1,1 year ago
